,created_at,id,text,text_nsw
0,2021-11-25 17:11:10+00:00,1463918194402504706,i honestly firmly believe that the unvaccinated should have to foot the bill for any hospitalizations due to covid., honestly firmly believe unvaccinated foot bill hospitalizations due covid.
1,2021-11-25 17:11:10+00:00,1463918194410897427,@ollysmithtravel @alistairhaimes @chrischirp pfizer can’t make a profit from that. they’ve got christmas bonuses to pay.,@ollysmithtravel @alistairhaimes @chrischirp pfizer ’ make profit . ’ got christmas bonuses pay.
2,2021-11-25 17:11:11+00:00,1463918197913042947,"@borisjohnson yet your govt's own info for healthcare professionals re pfizer, az &amp; moderna (now spikevax) clearly… https://t.co/eclwl3qp8p","@borisjohnson yet govt' info healthcare professionals pfizer, az &amp; moderna ( spikevax) clearly… https://.co/eclwl3qp8p"
3,2021-11-25 17:11:15+00:00,1463918214556094465,if covid rates go up it’s cos of all these people coming in our country on boats🤦🏼‍♀️ might be a unpopular opinion… https://t.co/o7iv2xa0qd, covid rates go ’ cos people coming country boats🤦🏼‍♀️ might unpopular opinion… https://.co/o7iv2xa0qd
4,2021-11-25 17:11:17+00:00,1463918222978256896,"shots of pfizer's pediatric covid vaccine have started going into the arms of #hamont kids. over 5,500 were initial… https://t.co/m7oddnzbt3","shots pfizer' pediatric covid vaccine started going arms #hamont kids. 5,500 initial… https://.co/m7oddnzbt3"
5,2021-11-25 17:11:19+00:00,1463918230691401728,#freeiphone13 @unboxtherapy 🙏🏻@lewlater @ankerofficial i’m covid positive. need iphone to cheer me up https://t.co/mtwuowj7z5,#freeiphone13 @unboxtherapy 🙏🏻@lewlater @ankerofficial ’ covid positive. need iphone cheer https://.co/mtwuowj7z5
6,2021-11-25 17:11:25+00:00,1463918257107353606,2 465 new covid cases  🥴,2 465 new covid cases 🥴
7,2021-11-25 17:11:25+00:00,1463918257908457473,facebook fact checkers at it again.. the code doesn’t apply because covid-19 was authorized by the government. last… https://t.co/ar1ovjnend,facebook fact checkers .. code ’ apply covid-19 authorized government. last… https://.co/ar1ovjnend
8,2021-11-25 17:11:26+00:00,1463918261372960778,@raphinhaszn is it the jab or covid it's self,@raphinhaszn jab covid ' self
9,2021-11-25 17:11:26+00:00,1463918261377064960,hamilton kids aged 5-11 are now getting pfizer’s covid-19 vaccine – hamilton | https://t.co/ttghbl8vtf https://t.co/i4tspau49v,hamilton kids aged 5-11 getting pfizer’ covid-19 vaccine – hamilton | https://.co/ttghbl8vtf https://.co/i4tspau49v
10,2021-11-25 17:11:26+00:00,1463918261729472513,"@slim_shitty_ received hundreds of “i survived covid” shirt orders within the three weeks of the pandemic, can almo… https://t.co/1xcghwgvvi","@slim_shitty_ received hundreds “ survived covid” shirt orders within three weeks pandemic, almo… https://.co/1xcghwgvvi"
11,2021-11-25 17:11:26+00:00,1463918262518001664,gauteng + 308% increase of covid cases week on week. 1950 new cases today. follow the hashtag #rid1tweetsoncovid  a… https://t.co/aq6e6azkhr,gauteng + 308% increase covid cases week week. 1950 new cases today. follow hashtag #rid1tweetsoncovid … https://.co/aq6e6azkhr
12,2021-11-25 17:11:27+00:00,1463918267203002372,pfizer vaccine approved for children aged 5 to 11 in europe https://t.co/xiylf33kwh,pfizer vaccine approved children aged 5 11 europe https://.co/xiylf33kwh
13,2021-11-25 17:11:28+00:00,1463918270054998035,vaccination for cumplashrey before election manipur 1st and 2nd dose  voting right aloud's not vaccination urgent g… https://t.co/i0zjdpmmgr,vaccination cumplashrey election manipur 1st 2nd dose voting right aloud' vaccination urgent g… https://.co/i0zjdpmmgr
14,2021-11-25 17:11:29+00:00,1463918274085859331,@blaze_mcrae @theaudentes if it wasn’t for covid driving morons from ma and other blue states up there. both of tho… https://t.co/bgar7zhpwb,@blaze_mcrae @theaudentes ’ covid driving morons blue states . tho… https://.co/bgar7zhpwb
15,2021-11-25 17:11:29+00:00,1463918275881054218,stay-at-home stocks pulled back just in time for a new covid wave.,stay--home stocks pulled back time new covid wave.
16,2021-11-25 17:11:33+00:00,1463918289965494281,"@jeremyhead @seanjonesqc see us advice from cdc. pfizer booster increases antibody levels 35-fold, moderna 76-fold.… https://t.co/r3lexkof3p","@jeremyhead @seanjonesqc see us advice cdc. pfizer booster increases antibody levels 35-fold, moderna 76-fold.… https://.co/r3lexkof3p"
17,2021-11-25 17:11:37+00:00,1463918306910519301,@hasanthehun luckily we have covid this year instead of dealing with the rittenhouse loving relatives,@hasanthehun luckily covid year instead dealing rittenhouse loving relatives
18,2021-11-25 17:11:38+00:00,1463918310618238982,"@francois_cp my second dose of asrtazeneca was only may 31, so 5 months seems enough to get boosted with moderna?… https://t.co/3egbsqlipl","@francois_cp second dose asrtazeneca may 31, 5 months seems enough get boosted moderna?… https://.co/3egbsqlipl"
