,created_at,id,text,text_nsw,sentiment,classification
0,2021-11-25 17:11:10+00:00,1.46E+18,I honestly firmly believe that the unvaccinated should have to foot the bill for any hospitalizations due to covid.,I honestly firmly believe unvaccinated foot bill hospitalizations due covid.,0,1
1,2021-11-25 17:11:10+00:00,1.46E+18,@ollysmithtravel @AlistairHaimes @chrischirp Pfizer can’t make a profit from that. They’ve got Christmas bonuses to pay.,@ollysmithtravel @AlistairHaimes @chrischirp Pfizer ’ make profit . They’ got Christmas bonuses pay.,-1,7
2,2021-11-25 17:11:11+00:00,1.46E+18,"@BorisJohnson Yet your govt's own Info for Healthcare Professionals re Pfizer, AZ &amp; Moderna (now Spikevax) clearly… https://t.co/EClWL3qP8p","@BorisJohnson Yet govt' Info Healthcare Professionals Pfizer, AZ &amp; Moderna ( Spikevax) clearly… https://.co/EClWL3qP8p",-1,1
3,2021-11-25 17:11:15+00:00,1.46E+18,If covid rates go up it’s cos of all these people coming in our country on boats🤦🏼‍♀️ might be a unpopular opinion… https://t.co/o7Iv2XA0qD,If covid rates go ’ cos people coming country boats🤦🏼‍♀️ might unpopular opinion… https://.co/o7Iv2XA0qD,-1,3
4,2021-11-25 17:11:17+00:00,1.46E+18,"Shots of Pfizer's pediatric COVID vaccine have started going into the arms of #hamont kids. Over 5,500 were initial… https://t.co/M7OdDNzBt3","Shots Pfizer' pediatric COVID vaccine started going arms #hamont kids. Over 5,500 initial… https://.co/M7OdDNzBt3",0,5
5,2021-11-25 17:11:19+00:00,1.46E+18,#FREEiPhone13 @UnboxTherapy 🙏🏻@LewLater @AnkerOfficial I’m covid positive. Need iphone to cheer me up https://t.co/MtWUOWJ7z5,#FREEiPhone13 @UnboxTherapy 🙏🏻@LewLater @AnkerOfficial I’ covid positive. Need iphone cheer https://.co/MtWUOWJ7z5,0,7
6,2021-11-25 17:11:25+00:00,1.46E+18,2 465 new covid cases  🥴,2 465 new covid cases 🥴,0,3
7,2021-11-25 17:11:25+00:00,1.46E+18,facebook fact checkers at it again.. the code doesn’t apply because covid-19 was authorized by the government. last… https://t.co/aR1oVjnEnD,facebook fact checkers .. code ’ apply covid-19 authorized government. last… https://.co/aR1oVjnEnD,-1,4
8,2021-11-25 17:11:26+00:00,1.46E+18,@RaphinhaSzn Is it the jab or covid it's self,@RaphinhaSzn Is jab covid ' self,0,5
9,2021-11-25 17:11:26+00:00,1.46E+18,Hamilton kids aged 5-11 are now getting Pfizer’s COVID-19 vaccine – Hamilton | https://t.co/tTGHbL8Vtf https://t.co/i4tSpAU49V,Hamilton kids aged 5-11 getting Pfizer’ COVID-19 vaccine – Hamilton | https://.co/tTGHbL8Vtf https://.co/i4tSpAU49V,0,3
10,2021-11-25 17:11:26+00:00,1.46E+18,"@slim_shitty_ received hundreds of “I survived covid” shirt orders within the three weeks of the pandemic, can almo… https://t.co/1xCghWgvvI","@slim_shitty_ received hundreds “I survived covid” shirt orders within three weeks pandemic, almo… https://.co/1xCghWgvvI",-1,6
11,2021-11-25 17:11:26+00:00,1.46E+18,Gauteng + 308% increase of covid cases week on week. 1950 new cases today. Follow the hashtag #Rid1TweetsOnCovid  a… https://t.co/AQ6e6aZKHR,Gauteng + 308% increase covid cases week week. 1950 new cases today. Follow hashtag #Rid1TweetsOnCovid … https://.co/AQ6e6aZKHR,0,3
12,2021-11-25 17:11:27+00:00,1.46E+18,Pfizer vaccine approved for children aged 5 to 11 in Europe https://t.co/XiYLf33KWh,Pfizer vaccine approved children aged 5 11 Europe https://.co/XiYLf33KWh,0,3
13,2021-11-25 17:11:28+00:00,1.46E+18,Vaccination for cumplashrey before election Manipur 1st and 2nd dose  voting right aloud's not vaccination urgent g… https://t.co/I0zJdpMMgR,Vaccination cumplashrey election Manipur 1st 2nd dose voting right aloud' vaccination urgent g… https://.co/I0zJdpMMgR,0,5
14,2021-11-25 17:11:29+00:00,1.46E+18,@blaze_mcrae @TheAudentes If it wasn’t for covid driving morons from MA and other blue states up there. Both of tho… https://t.co/bgAr7zhpWb,@blaze_mcrae @TheAudentes If ’ covid driving morons MA blue states . Both tho… https://.co/bgAr7zhpWb,-1,6
15,2021-11-25 17:11:29+00:00,1.46E+18,Stay-at-home stocks pulled back just in time for a new covid wave.,Stay--home stocks pulled back time new covid wave.,0,3
16,2021-11-25 17:11:33+00:00,1.46E+18,"@jeremyhead @seanjonesqc See US advice from CDC. Pfizer booster increases antibody levels 35-fold, Moderna 76-fold.… https://t.co/R3LeXkof3P","@jeremyhead @seanjonesqc See US advice CDC. Pfizer booster increases antibody levels 35-fold, Moderna 76-fold.… https://.co/R3LeXkof3P",0,2
17,2021-11-25 17:11:37+00:00,1.46E+18,@hasanthehun Luckily we have covid this year instead of dealing with the Rittenhouse loving relatives,@hasanthehun Luckily covid year instead dealing Rittenhouse loving relatives,0,4
18,2021-11-25 17:11:38+00:00,1.46E+18,"@francois_cp My second dose of AsrtaZeneca was only May 31, so 5 months seems enough to get boosted with Moderna?… https://t.co/3EGbsQLIPl","@francois_cp My second dose AsrtaZeneca May 31, 5 months seems enough get boosted Moderna?… https://.co/3EGbsQLIPl",0,2
20,2021-11-25 17:11:38+00:00,1.46E+18,"The Barnet vaccination bus will be at @FrithManor Primary School, N12 7BN, on Saturday 27 November https://t.co/f4EdSWNXOP","The Barnet vaccination bus @FrithManor Primary School, N12 7BN, Saturday 27 November https://.co/f4EdSWNXOP",0,3
